MatchID,TeamBatFirst,TeamBatSecond,Team1Score,Team2Score,SuperOver,Winner
1,MI,CSK,162,166,N,CSK
2,DC,KXIP,157,157,Y,DC
3,RCB,SRH,163,153,N,RCB
4,RR,CSK,216,200,N,RR
5,MI,KKR,195,146,N,MI
6,KXIP,RCB,206,109,N,KXIP
7,DC,CSK,175,131,N,DC
8,SRH,KKR,142,145,N,KKR
9,KXIP,RR,223,226,N,RR
10,RCB,MI,201,201,Y,RCB
11,SRH,DC,162,147,N,SRH
12,KKR,RR,174,137,N,KKR
13,MI,KXIP,191,143,N,MI
14,SRH,CSK,164,157,N,SRH
15,RR,RCB,154,158,N,RCB
16,DC,KKR,228,210,N,DC
17,MI,SRH,208,174,N,MI
18,KXIP,CSK,178,181,N,CSK
19,DC,RCB,196,137,N,DC
20,MI,RR,193,136,N,MI
21,KKR,CSK,167,157,N,KKR
22,SRH,KXIP,201,132,N,SRH
23,DC,RR,184,138,N,DC
24,KKR,KXIP,164,162,N,KKR
25,RCB,CSK,169,132,N,RCB
26,SRH,RR,158,163,N,RR
27,DC,MI,162,166,N,MI
28,RCB,KKR,194,112,N,RCB
29,CSK,SRH,167,147,N,CSK
30,DC,RR,161,148,N,DC
31,RCB,KXIP,171,177,N,KXIP
32,KKR,MI,148,149,N,MI
33,RR,RCB,177,179,N,RCB
34,CSK,DC,179,185,N,DC
35,SRH,KKR,163,163,Y,KKR
36,MI,KXIP,176,176,Y,KXIP
37,CSK,RR,125,126,N,RR
38,DC,KXIP,164,167,N,KXIP
39,KKR,RCB,84,85,N,RCB
40,RR,SRH,154,156,N,SRH
41,CSK,MI,114,116,N,MI
42,KKR,DC,194,135,N,KKR
43,KXIP,SRH,126,114,N,KXIP
44,RCB,CSK,145,150,N,CSK
45,MI,RR,195,196,N,RR
46,KKR,KXIP,149,150,N,KXIP
47,SRH,DC,219,131,N,SRH
48,RCB,MI,164,166,N,MI
49,KKR,CSK,172,178,N,CSK
50,KXIP,RR,185,186,N,RR
51,DC,MI,110,111,N,MI
52,RCB,SRH,120,121,N,SRH
53,KXIP,CSK,153,154,N,CSK
54,KKR,RR,191,131,N,KKR
55,RCB,DC,152,154,N,DC
56,MI,SRH,149,151,N,SRH
Q1,MI,DC,200,143,N,MI
E,RCB,SRH,131,132,N,SRH
Q2,DC,SRH,189,172,N,DC
F,DC,MI,156,157,N,MI
